"sede","fecha","cantidad_visitantes","cantidad_combos","gasto_total","propina","tiempo_espera","satisfaccion_cliente","numero_de_mesas_disponibles"
"Playon",2022-10-10,2,3,6000,113,5.8,88.2,21
"Gratuidad_Universitaria",2022-10-10,12,4,8000,193,7.1,83.3,21
"Justicia_Social",2022-10-10,18,4,8000,283,9.3,91,20
"Sede_Vergara",2022-10-10,20,5,10000,163,9.2,96.9,23
"Polideportivo",2022-10-10,4,4,8000,130,9.5,90,17
"Escuela_Universitaria_de_Ingles",2022-10-10,35,4,8000,114,9.1,97.5,20
"Trabajo_Argentino",2022-10-11,19,5,10000,350,12.3,81,30
"Malvinas_Argentinas",2022-10-11,6,4,8000,112,8,94.9,24
"Marcos_Paz",2022-10-11,25,5,10000,297,11.9,89.9,24
"Rectorado",2022-10-11,6,2,4000,177,3.6,92.6,20
"Gestion_estudiantil",2022-10-11,10,2,4000,106,4.5,102.6,16
"Biblioteca",2022-10-11,12,3,6000,195,4.6,90,15
"Laboratorios",2022-10-11,4,3,6000,288,7.3,93.6,29
"Auditorio",2022-10-11,5,3,6000,248,4.6,87.9,30
"PIA",2022-10-11,17,2,4000,204,4.9,97.6,25
"Playon",2022-10-11,19,3,6000,176,6,93.8,10
"Gratuidad_Universitaria",2022-10-11,24,3,6000,235,6.2,89.6,14
"Justicia_Social",2022-10-11,37,2,4000,193,3,101.8,23
"Sede_Vergara",2022-10-11,28,5,10000,178,11.1,85.7,19
"Escuela_Universitaria_de_Ingles",2022-10-11,19,2,4000,285,5,84.6,10
"Trabajo_Argentino",2022-10-12,26,3,6000,493,6.7,93.3,16
"Malvinas_Argentinas",2022-10-12,6,3,6000,178,5.5,91.7,28
"Marcos_Paz",2022-10-12,27,3,6000,171,6.8,95.4,26
"Rectorado",2022-10-12,9,2,4000,202,3.7,102.4,10
"Gestion_estudiantil",2022-10-12,23,3,6000,155,4.5,92.1,22
"Biblioteca",2022-10-12,51,2,4000,237,4.3,95.9,17
"Laboratorios",2022-10-12,18,4,8000,218,6.7,92.1,26
"Invernaula",2022-10-12,30,2,4000,147,4.9,99.1,22
"Auditorio",2022-10-12,9,5,10000,170,9.3,82.8,21
"PIA",2022-10-12,29,4,8000,104,6.6,95.5,25
"Playon",2022-10-12,17,2,4000,230,4.5,94.9,29
"Gratuidad_Universitaria",2022-10-12,26,3,6000,233,5.6,95.2,20
"Justicia_Social",2022-10-12,28,2,4000,219,4.3,92.3,18
"Sede_Vergara",2022-10-12,23,4,8000,242,9.2,93.4,29
"Polideportivo",2022-10-12,13,3,6000,234,5,103.4,15
"Escuela_Universitaria_de_Ingles",2022-10-12,4,4,8000,156,7.9,91.6,14
"Trabajo_Argentino",2022-10-13,27,5,10000,306,10.9,92.3,29
"Marcos_Paz",2022-10-13,28,5,10000,123,8.2,85.3,12
"Rectorado",2022-10-13,6,5,10000,195,10.4,88.6,11
"Gestion_estudiantil",2022-10-13,29,3,6000,277,4.6,95.7,29
"Biblioteca",2022-10-13,29,2,4000,160,3.1,96.8,24
"Laboratorios",2022-10-13,15,4,8000,114,6.3,90.8,22
"Invernaula",2022-10-13,25,4,8000,180,6.6,94.7,28
"Auditorio",2022-10-13,27,5,10000,208,9.7,88.8,30
"PIA",2022-10-13,20,3,6000,106,6.5,93,17
"Playon",2022-10-13,35,3,6000,142,5.3,101,14
"Gratuidad_Universitaria",2022-10-13,6,4,8000,193,7.8,93.8,17
"Justicia_Social",2022-10-13,3,3,6000,207,6.2,99.5,25
"Sede_Vergara",2022-10-13,49,4,8000,192,6.9,98.3,24
"Polideportivo",2022-10-13,22,3,6000,283,6.3,88.4,18
"Escuela_Universitaria_de_Ingles",2022-10-13,22,3,6000,119,6.2,98.5,23
"Trabajo_Argentino",2022-10-14,22,6,12000,485,9.3,88.2,27
"Marcos_Paz",2022-10-14,30,3,6000,278,5.4,95.9,16
"Rectorado",2022-10-14,10,5,10000,175,8.7,98.4,21
"Gestion_estudiantil",2022-10-14,18,5,10000,193,9.6,92.2,18
"Biblioteca",2022-10-14,32,4,8000,170,9.3,98.9,26
"Laboratorios",2022-10-14,27,5,10000,242,10.3,94.4,15
"Invernaula",2022-10-14,31,3,6000,119,6,97.8,13
"Auditorio",2022-10-14,21,3,6000,299,5.7,90.5,28
"PIA",2022-10-14,35,3,6000,294,4.6,100.2,12
"Playon",2022-10-14,30,2,4000,259,4.6,91.1,26
"Gratuidad_Universitaria",2022-10-14,16,5,10000,130,11.3,88.2,12
"Justicia_Social",2022-10-14,38,5,10000,223,10.8,91.6,23
"Sede_Vergara",2022-10-14,46,2,4000,210,4.5,93.8,13
"Polideportivo",2022-10-14,52,4,8000,187,6.4,91.1,24
"Escuela_Universitaria_de_Ingles",2022-10-14,48,2,4000,260,4.8,85,20
"Trabajo_Argentino",2022-10-15,14,4,8000,560,7.6,94.5,26
"Malvinas_Argentinas",2022-10-15,2,3,6000,146,7.2,94.1,19
"Marcos_Paz",2022-10-15,36,2,4000,238,3.3,102.6,22
"Rectorado",2022-10-15,17,5,10000,127,7.7,86.1,23
"Gestion_estudiantil",2022-10-15,27,4,8000,176,8.6,93.4,30
"Biblioteca",2022-10-15,26,4,8000,101,6.5,95,29
"Laboratorios",2022-10-15,18,4,8000,292,7.5,83.5,11
"Invernaula",2022-10-15,39,2,4000,109,4.1,93.4,29
"Auditorio",2022-10-15,33,2,4000,258,4.1,90.3,27
"PIA",2022-10-15,23,4,8000,148,8,98,29
"Playon",2022-10-15,28,2,4000,118,4.6,98.9,10
"Gratuidad_Universitaria",2022-10-15,27,5,10000,252,10.7,93.3,20
"Justicia_Social",2022-10-15,47,4,8000,129,7.6,94.6,23
"Sede_Vergara",2022-10-15,53,3,6000,223,5.8,91.1,26
"Polideportivo",2022-10-15,12,5,10000,171,8.9,93.5,29
"Escuela_Universitaria_de_Ingles",2022-10-15,57,4,8000,105,6.2,91,30
"Malvinas_Argentinas",2022-10-16,2,2,4000,198,3.1,91.5,22
"Marcos_Paz",2022-10-16,43,5,10000,271,10.4,88.6,23
"Rectorado",2022-10-16,15,2,4000,276,3.2,104.1,12
"Gestion_estudiantil",2022-10-16,31,4,8000,115,6.9,94.4,21
"Auditorio",2022-10-16,18,3,6000,274,7.1,105.8,21
"PIA",2022-10-16,35,4,8000,119,9.2,93.8,27
"Playon",2022-10-16,15,2,4000,120,3.8,90.9,28
"Gratuidad_Universitaria",2022-10-16,39,3,6000,219,7.1,96,19
"Justicia_Social",2022-10-16,4,5,10000,115,11.9,87.6,22
"Sede_Vergara",2022-10-16,24,2,4000,296,3.3,95.9,25
"Polideportivo",2022-10-16,6,3,6000,183,6.3,95.8,21
"Escuela_Universitaria_de_Ingles",2022-10-16,42,2,4000,274,3.5,98,10
"Trabajo_Argentino",2022-10-17,20,3,6000,431,5.9,94.4,10
"Marcos_Paz",2022-10-17,29,3,6000,230,6.2,93.4,11
"Rectorado",2022-10-17,12,2,4000,106,4.4,95.8,25
"Gestion_estudiantil",2022-10-17,15,4,8000,192,9.3,97.6,23
"Biblioteca",2022-10-17,22,3,6000,205,6.5,90.9,28
"Laboratorios",2022-10-17,5,4,8000,198,7.8,87.1,21
"Auditorio",2022-10-17,17,4,8000,243,9.1,86.2,16
"PIA",2022-10-17,15,5,10000,158,9.4,95,20
"Playon",2022-10-17,11,2,4000,251,4.8,93.2,11
"Justicia_Social",2022-10-17,54,3,6000,138,7.1,99.3,27
"Sede_Vergara",2022-10-17,28,4,8000,186,7,99.7,11
"Polideportivo",2022-10-17,17,3,6000,256,4.9,95.4,21
"Escuela_Universitaria_de_Ingles",2022-10-17,30,4,8000,124,6.3,98.3,29
"Trabajo_Argentino",2022-10-18,18,3,6000,560,6.2,95.8,11
"Malvinas_Argentinas",2022-10-18,1,5,10000,278,8.7,92.3,12
"Marcos_Paz",2022-10-18,20,2,4000,179,4.4,95.4,18
"Rectorado",2022-10-18,11,5,10000,157,12.2,83.9,29
"Gestion_estudiantil",2022-10-18,31,3,6000,131,6.6,95.1,16
"Biblioteca",2022-10-18,54,5,10000,260,11.7,93.3,27
"Laboratorios",2022-10-18,8,3,6000,252,5.9,86.5,18
"Invernaula",2022-10-18,23,4,8000,139,9.7,105.7,26
"Auditorio",2022-10-18,7,4,8000,148,6.3,99.7,13
"PIA",2022-10-18,22,4,8000,297,9.8,86.1,26
"Playon",2022-10-18,24,4,8000,152,6.3,93.5,10
"Justicia_Social",2022-10-18,11,2,4000,241,4,92.6,10
"Sede_Vergara",2022-10-18,24,2,4000,148,4.3,101.1,18
"Polideportivo",2022-10-18,9,2,4000,140,4.7,84.4,18
"Escuela_Universitaria_de_Ingles",2022-10-18,19,5,10000,101,10.1,85.6,11
"Trabajo_Argentino",2022-10-19,29,4,8000,520,8.8,87.9,26
"Malvinas_Argentinas",2022-10-19,3,4,8000,261,8.7,92.7,27
"Marcos_Paz",2022-10-19,24,5,10000,257,9.1,89,24
"Rectorado",2022-10-19,9,5,10000,180,9.1,84.2,13
"Gestion_estudiantil",2022-10-19,17,4,8000,281,9.6,81.9,18
"Biblioteca",2022-10-19,32,4,8000,294,7,92.3,12
"Laboratorios",2022-10-19,6,2,4000,234,4.6,102.4,18
"Invernaula",2022-10-19,29,2,4000,291,4.6,99.6,13
"Auditorio",2022-10-19,13,2,4000,195,3.2,103.9,20
"PIA",2022-10-19,30,5,10000,270,10.8,94.7,25
"Playon",2022-10-19,40,4,8000,171,9.2,84.1,18
"Gratuidad_Universitaria",2022-10-19,27,4,8000,183,6.9,84.5,15
"Justicia_Social",2022-10-19,2,2,4000,223,4.1,98.2,21
"Sede_Vergara",2022-10-19,37,5,10000,187,10,92.9,17
"Polideportivo",2022-10-19,18,5,10000,277,12.5,91,22
"Escuela_Universitaria_de_Ingles",2022-10-19,10,2,4000,211,3.7,94.6,22
"Trabajo_Argentino",2022-10-20,26,5,10000,490,12.1,86.1,11
"Marcos_Paz",2022-10-20,16,3,6000,295,6.3,92.6,30
"Rectorado",2022-10-20,15,4,8000,130,6.3,106.4,13
"Gestion_estudiantil",2022-10-20,23,4,8000,233,7.7,99.5,13
"Biblioteca",2022-10-20,46,3,6000,267,4.9,86.9,25
"Laboratorios",2022-10-20,15,4,8000,116,9.3,95,21
"Invernaula",2022-10-20,16,5,10000,266,10.2,83.4,25
"Auditorio",2022-10-20,15,2,4000,199,3.6,94,11
"PIA",2022-10-20,31,2,4000,286,3.9,91.1,11
"Playon",2022-10-20,27,3,6000,126,6,95.3,11
"Gratuidad_Universitaria",2022-10-20,8,3,6000,168,4.9,93.1,10
"Justicia_Social",2022-10-20,3,4,8000,186,7.6,90,11
"Sede_Vergara",2022-10-20,30,4,8000,128,8.8,92,25
"Polideportivo",2022-10-20,35,5,10000,250,10.6,85.5,11
"Escuela_Universitaria_de_Ingles",2022-10-20,17,4,8000,247,8.6,94.4,17
"Trabajo_Argentino",2022-10-21,37,3,6000,522,6.4,91.4,22
"Malvinas_Argentinas",2022-10-21,2,4,8000,290,6.9,93.4,19
"Marcos_Paz",2022-10-21,25,3,6000,281,7.5,94.2,10
"Rectorado",2022-10-21,19,3,6000,243,5.5,89.7,10
"Gestion_estudiantil",2022-10-21,14,3,6000,221,5.7,92.7,28
"Biblioteca",2022-10-21,45,5,10000,278,11.3,92.1,20
"Laboratorios",2022-10-21,24,3,6000,248,5.3,85.9,28
"Invernaula",2022-10-21,22,3,6000,111,5.7,98.7,18
"Auditorio",2022-10-21,15,4,8000,298,7.2,96,12
"PIA",2022-10-21,25,2,4000,277,4.7,100,17
"Playon",2022-10-21,31,2,4000,147,3.6,103.7,19
"Gratuidad_Universitaria",2022-10-21,6,4,8000,130,8.4,84.1,26
"Justicia_Social",2022-10-21,57,2,4000,215,4.3,89.2,14
"Sede_Vergara",2022-10-21,47,4,8000,298,6.4,88.7,14
"Polideportivo",2022-10-21,42,2,4000,280,3.3,99.3,30
"Escuela_Universitaria_de_Ingles",2022-10-21,18,2,4000,231,4,100.3,30
"Trabajo_Argentino",2022-10-22,41,4,8000,429,7.7,92.2,26
"Malvinas_Argentinas",2022-10-22,7,4,8000,295,7.3,100.4,17
"Marcos_Paz",2022-10-22,28,2,4000,149,4.5,96.7,19
"Rectorado",2022-10-22,14,5,10000,167,10.6,85.9,26
"Gestion_estudiantil",2022-10-22,39,2,4000,123,3.5,92.3,18
"Biblioteca",2022-10-22,20,2,4000,271,3.4,98.7,14
"Laboratorios",2022-10-22,15,4,8000,294,8.9,89.5,11
"Invernaula",2022-10-22,42,4,8000,241,8.2,89.8,23
"Auditorio",2022-10-22,13,2,4000,127,4.5,87,12
"PIA",2022-10-22,41,5,10000,117,11.5,88.1,14
"Playon",2022-10-22,33,5,10000,258,10.6,87.9,22
"Gratuidad_Universitaria",2022-10-22,25,2,4000,133,4.5,99.8,23
"Justicia_Social",2022-10-22,54,2,4000,152,4.8,92.8,19
"Sede_Vergara",2022-10-22,43,5,10000,131,7.8,95.9,19
"Polideportivo",2022-10-22,27,3,6000,186,5.1,99.7,12
"Escuela_Universitaria_de_Ingles",2022-10-22,56,2,4000,117,3.1,92.8,16
"Malvinas_Argentinas",2022-10-23,5,4,8000,279,6.7,89.3,21
"Marcos_Paz",2022-10-23,37,5,10000,160,7.9,88.6,18
"Rectorado",2022-10-23,27,5,10000,173,9.7,86.5,30
"Gestion_estudiantil",2022-10-23,24,3,6000,190,5.6,96.2,11
"Auditorio",2022-10-23,4,2,4000,142,3.3,94.7,14
"PIA",2022-10-23,34,2,4000,243,3.9,103.5,21
"Playon",2022-10-23,21,2,4000,282,3.6,101.9,29
"Gratuidad_Universitaria",2022-10-23,28,3,6000,281,5.1,83.3,18
"Justicia_Social",2022-10-23,66,2,4000,290,4,85,15
"Sede_Vergara",2022-10-23,19,4,8000,288,7,91.2,11
"Escuela_Universitaria_de_Ingles",2022-10-23,29,3,6000,136,5.5,90.6,22
"Trabajo_Argentino",2022-10-24,18,4,8000,373,8.2,94,12
"Marcos_Paz",2022-10-24,24,5,10000,117,9.8,88,18
"Gestion_estudiantil",2022-10-24,26,2,4000,133,3.5,99.2,26
"Biblioteca",2022-10-24,42,3,6000,117,5.3,101.4,21
"Laboratorios",2022-10-24,10,2,4000,244,4,100.4,15
"Auditorio",2022-10-24,10,3,6000,248,7.4,89.8,14
"PIA",2022-10-24,34,4,8000,232,7.3,95.6,24
"Playon",2022-10-24,3,5,10000,173,10.8,90.4,11
"Gratuidad_Universitaria",2022-10-24,19,4,8000,165,8.4,89.4,24
"Justicia_Social",2022-10-24,11,3,6000,153,6.8,91.9,28
"Sede_Vergara",2022-10-24,14,4,8000,165,9.7,88.4,16
"Polideportivo",2022-10-24,24,5,10000,259,8.8,90.2,24
"Escuela_Universitaria_de_Ingles",2022-10-24,23,3,6000,205,6.1,97,15
"Trabajo_Argentino",2022-10-25,16,3,6000,358,4.7,93.7,27
"Malvinas_Argentinas",2022-10-25,3,2,4000,267,4.6,105.5,19
"Marcos_Paz",2022-10-25,24,3,6000,294,4.7,109.7,16
"Rectorado",2022-10-25,4,4,8000,245,9.2,95.8,13
"Gestion_estudiantil",2022-10-25,26,5,10000,286,12.2,88.7,21
"Biblioteca",2022-10-25,37,2,4000,160,4.1,94.7,12
"Laboratorios",2022-10-25,21,4,8000,200,6.3,98.8,20
"Auditorio",2022-10-25,21,3,6000,103,7.1,95.4,24
"PIA",2022-10-25,27,2,4000,202,4.1,96,11
"Playon",2022-10-25,18,3,6000,263,7.2,88.2,29
"Gratuidad_Universitaria",2022-10-25,13,3,6000,237,5.1,97.2,13
"Justicia_Social",2022-10-25,28,4,8000,183,7.5,94.9,24
"Sede_Vergara",2022-10-25,44,5,10000,223,10.1,91.5,12
"Polideportivo",2022-10-25,18,2,4000,172,3.3,91.7,26
"Escuela_Universitaria_de_Ingles",2022-10-25,22,2,4000,300,3.9,98.7,16
"Trabajo_Argentino",2022-10-26,15,6,12000,332,10.6,80.7,11
"Malvinas_Argentinas",2022-10-26,1,5,10000,151,8.2,95.5,16
"Marcos_Paz",2022-10-26,29,4,8000,214,7.4,83.3,27
"Rectorado",2022-10-26,22,4,8000,164,7.1,94.5,26
"Gestion_estudiantil",2022-10-26,35,5,10000,266,9.9,88.2,23
"Biblioteca",2022-10-26,34,5,10000,276,9.9,90.8,15
"Laboratorios",2022-10-26,43,2,4000,188,3.1,104.8,18
"Auditorio",2022-10-26,22,3,6000,149,6.3,100.8,13
"PIA",2022-10-26,39,3,6000,236,7.1,95.1,24
"Playon",2022-10-26,23,5,10000,108,10.3,97.7,29
"Gratuidad_Universitaria",2022-10-26,19,2,4000,187,3.5,91.7,21
"Justicia_Social",2022-10-26,16,2,4000,250,4.4,95.2,22
"Sede_Vergara",2022-10-26,19,3,6000,141,6.6,94.4,13
"Polideportivo",2022-10-26,8,3,6000,120,6.7,95.9,30
"Escuela_Universitaria_de_Ingles",2022-10-26,7,3,6000,180,6.8,103.5,23
"Trabajo_Argentino",2022-10-27,21,6,12000,586,11.4,85.6,14
"Malvinas_Argentinas",2022-10-27,6,4,8000,253,9.3,91.2,16
"Marcos_Paz",2022-10-27,21,2,4000,103,4.5,100.3,21
"Rectorado",2022-10-27,10,4,8000,173,8.3,87.8,16
"Gestion_estudiantil",2022-10-27,27,3,6000,283,4.6,101.1,19
"Biblioteca",2022-10-27,30,2,4000,214,3.7,91.5,13
"Laboratorios",2022-10-27,12,3,6000,240,5.2,94.5,28
"Auditorio",2022-10-27,14,2,4000,123,4.8,88.4,11
"PIA",2022-10-27,29,3,6000,273,6.3,99.6,14
"Playon",2022-10-27,11,2,4000,118,4.3,94.4,22
"Gratuidad_Universitaria",2022-10-27,16,3,6000,174,6.1,93.9,22
"Justicia_Social",2022-10-27,13,2,4000,258,5,94.4,17
"Sede_Vergara",2022-10-27,40,4,8000,242,6.4,94.1,23
"Polideportivo",2022-10-27,7,5,10000,137,7.8,87.7,23
"Escuela_Universitaria_de_Ingles",2022-10-27,21,5,10000,298,12.4,85.3,11
"Trabajo_Argentino",2022-10-28,25,6,12000,477,10.2,83.7,21
"Malvinas_Argentinas",2022-10-28,4,3,6000,256,5.5,89.6,15
"Marcos_Paz",2022-10-28,19,5,10000,299,7.5,98.1,15
"Rectorado",2022-10-28,11,2,4000,237,3.1,96.5,14
"Gestion_estudiantil",2022-10-28,27,3,6000,226,6.8,101.2,16
"Biblioteca",2022-10-28,42,3,6000,186,6.8,94.8,30
"Laboratorios",2022-10-28,16,3,6000,224,5.2,98.6,23
"Auditorio",2022-10-28,31,4,8000,246,6,101.4,27
"PIA",2022-10-28,24,3,6000,128,6.4,87.2,18
"Playon",2022-10-28,19,4,8000,132,7.7,90.7,22
"Gratuidad_Universitaria",2022-10-28,24,3,6000,213,5.2,84.1,30
"Justicia_Social",2022-10-28,40,2,4000,177,3.3,89.4,22
"Sede_Vergara",2022-10-28,56,4,8000,150,6.7,88.6,13
"Polideportivo",2022-10-28,33,2,4000,141,3.8,102.5,18
"Escuela_Universitaria_de_Ingles",2022-10-28,43,4,8000,287,9.9,95.4,25
"Trabajo_Argentino",2022-10-29,34,4,8000,581,9.3,87,22
"Malvinas_Argentinas",2022-10-29,1,5,10000,111,9.4,81.2,26
"Marcos_Paz",2022-10-29,34,3,6000,192,6.8,85,16
"Rectorado",2022-10-29,4,2,4000,279,3.4,102.6,18
"Gestion_estudiantil",2022-10-29,15,5,10000,287,9.2,92.2,25
"Laboratorios",2022-10-29,21,3,6000,186,5.8,94.4,21
"Auditorio",2022-10-29,35,5,10000,119,11.4,97.6,15
"PIA",2022-10-29,28,4,8000,141,9.1,99.6,24
"Playon",2022-10-29,41,4,8000,204,9.2,94.5,22
"Gratuidad_Universitaria",2022-10-29,17,2,4000,182,4.3,97.3,17
"Justicia_Social",2022-10-29,70,3,6000,246,4.7,99.8,19
"Sede_Vergara",2022-10-29,38,5,10000,192,11.8,92,11
"Polideportivo",2022-10-29,7,5,10000,288,10.9,97,11
"Escuela_Universitaria_de_Ingles",2022-10-29,60,4,8000,274,6.5,86.7,14
"Malvinas_Argentinas",2022-10-30,2,4,8000,213,8.5,85.4,29
"Marcos_Paz",2022-10-30,44,5,10000,296,9.8,88.2,25
"Rectorado",2022-10-30,11,2,4000,161,4.5,93.9,15
"Gestion_estudiantil",2022-10-30,27,5,10000,107,10.3,93.3,11
"Biblioteca",2022-10-30,46,4,8000,249,8.2,90.2,19
"Auditorio",2022-10-30,46,4,8000,241,9.6,88.8,12
"PIA",2022-10-30,32,4,8000,292,8.8,89.5,16
"Playon",2022-10-30,14,3,6000,261,7.1,93.4,18
"Gratuidad_Universitaria",2022-10-30,28,5,10000,111,8.1,93.4,20
"Justicia_Social",2022-10-30,9,4,8000,244,6.2,86.2,17
"Sede_Vergara",2022-10-30,22,4,8000,228,8.2,97.9,18
"Escuela_Universitaria_de_Ingles",2022-10-30,41,5,10000,110,11.5,79.6,22
"Trabajo_Argentino",2022-10-31,24,6,12000,471,9.9,91.4,19
"Marcos_Paz",2022-10-31,22,4,8000,191,8.9,84.7,25
"Rectorado",2022-10-31,10,5,10000,247,11.6,92.7,18
"Gestion_estudiantil",2022-10-31,32,2,4000,265,4.4,95.4,19
"Biblioteca",2022-10-31,25,3,6000,223,5,90,29
"Laboratorios",2022-10-31,4,4,8000,116,8.2,93.8,10
"Auditorio",2022-10-31,22,2,4000,180,3.2,89,19
"PIA",2022-10-31,19,2,4000,263,4.7,97.5,18
"Playon",2022-10-31,7,3,6000,164,5.6,94.3,21
"Gratuidad_Universitaria",2022-10-31,6,2,4000,220,3.4,90.7,20
"Justicia_Social",2022-10-31,65,5,10000,243,8.2,99,11
"Sede_Vergara",2022-10-31,43,5,10000,147,11.5,78.1,23
"Polideportivo",2022-10-31,2,2,4000,199,4,90.3,17
"Escuela_Universitaria_de_Ingles",2022-10-31,22,5,10000,243,8.5,100.4,21
"Trabajo_Argentino",2022-11-01,18,3,6000,382,6.9,94.5,15
"Malvinas_Argentinas",2022-11-01,2,5,10000,165,8,92.8,10
"Marcos_Paz",2022-11-01,23,5,10000,102,10.8,84.1,11
"Rectorado",2022-11-01,17,5,10000,122,10.1,85.7,12
"Gestion_estudiantil",2022-11-01,3,3,6000,224,5.3,85.1,28
"Biblioteca",2022-11-01,27,4,8000,216,10,89.8,18
"Laboratorios",2022-11-01,12,3,6000,126,6.6,89.5,11
"Auditorio",2022-11-01,6,3,6000,221,5.9,96.8,27
"PIA",2022-11-01,26,2,4000,147,3.2,87.7,18
"Playon",2022-11-01,7,2,4000,262,4,100.9,12
"Gratuidad_Universitaria",2022-11-01,27,4,8000,107,9.2,95.8,23
"Justicia_Social",2022-11-01,7,3,6000,113,4.5,107.7,25
"Sede_Vergara",2022-11-01,14,2,4000,193,4.2,93.4,30
"Polideportivo",2022-11-01,4,3,6000,103,5.6,90.9,10
"Escuela_Universitaria_de_Ingles",2022-11-01,35,4,8000,287,9.4,90.6,22
"Trabajo_Argentino",2022-11-02,16,3,6000,542,6.1,101.6,19
"Malvinas_Argentinas",2022-11-02,9,5,10000,198,7.6,89.4,14
"Marcos_Paz",2022-11-02,20,2,4000,185,4.1,97.4,11
"Rectorado",2022-11-02,22,2,4000,160,4.1,99.6,18
"Gestion_estudiantil",2022-11-02,28,2,4000,167,3.1,92.5,11
"Biblioteca",2022-11-02,39,5,10000,188,8.7,87.8,24
"Laboratorios",2022-11-02,22,4,8000,119,7,91.7,27
"Invernaula",2022-11-02,28,4,8000,257,9.2,94.8,20
"Auditorio",2022-11-02,13,3,6000,221,6.5,94,19
"PIA",2022-11-02,27,2,4000,287,4.2,94.5,20
"Playon",2022-11-02,30,4,8000,233,9.6,93.2,15
"Gratuidad_Universitaria",2022-11-02,14,4,8000,114,6.2,92,25
"Justicia_Social",2022-11-02,30,2,4000,280,4.3,89.9,14
"Sede_Vergara",2022-11-02,41,3,6000,257,4.7,97.5,28
"Polideportivo",2022-11-02,24,4,8000,219,8.7,89.4,18
"Escuela_Universitaria_de_Ingles",2022-11-02,3,4,8000,297,9.2,93.7,10
"Trabajo_Argentino",2022-11-03,12,4,8000,313,8.6,90.2,19
"Marcos_Paz",2022-11-03,32,4,8000,197,8.8,94.3,23
"Rectorado",2022-11-03,7,4,8000,287,6,95.6,26
"Gestion_estudiantil",2022-11-03,37,3,6000,191,5.8,86,30
"Laboratorios",2022-11-03,2,5,10000,201,12,88.6,16
"Invernaula",2022-11-03,39,2,4000,232,4.3,92.2,14
"Auditorio",2022-11-03,26,4,8000,114,7.9,88.1,11
"PIA",2022-11-03,43,5,10000,203,8.7,89.9,19
"Playon",2022-11-03,38,2,4000,290,3.9,103.6,22
"Gratuidad_Universitaria",2022-11-03,31,5,10000,205,10.9,92.7,18
"Justicia_Social",2022-11-03,21,2,4000,257,4.2,92.6,23
"Sede_Vergara",2022-11-03,17,3,6000,158,5.1,91.2,11
"Polideportivo",2022-11-03,2,5,10000,120,10.7,90.6,14
"Escuela_Universitaria_de_Ingles",2022-11-03,29,4,8000,298,10,86.6,21
"Trabajo_Argentino",2022-11-04,18,3,6000,574,5,92.1,15
"Malvinas_Argentinas",2022-11-04,10,4,8000,187,10,84.1,19
"Marcos_Paz",2022-11-04,25,4,8000,261,8.6,89.6,30
"Rectorado",2022-11-04,16,5,10000,141,8.2,98.4,12
"Gestion_estudiantil",2022-11-04,15,2,4000,178,4.2,101.4,17
"Biblioteca",2022-11-04,45,4,8000,160,6.5,86.8,19
"Laboratorios",2022-11-04,10,3,6000,151,5.9,104,14
"Invernaula",2022-11-04,27,3,6000,260,4.8,100.9,20
"Auditorio",2022-11-04,15,2,4000,205,4.8,104.7,11
"PIA",2022-11-04,25,4,8000,228,7.9,97.2,26
"Playon",2022-11-04,35,5,10000,267,8.5,90.8,25
"Gratuidad_Universitaria",2022-11-04,8,2,4000,122,3.3,97.9,14
"Justicia_Social",2022-11-04,12,3,6000,294,5.5,94.2,12
"Sede_Vergara",2022-11-04,16,5,10000,210,10.1,89.4,21
"Polideportivo",2022-11-04,24,3,6000,202,6.6,90.6,29
"Escuela_Universitaria_de_Ingles",2022-11-04,35,3,6000,261,6.5,87,13
"Trabajo_Argentino",2022-11-05,20,6,12000,379,12.8,87.2,25
"Malvinas_Argentinas",2022-11-05,1,5,10000,179,10.4,96.8,22
"Marcos_Paz",2022-11-05,21,3,6000,132,5.4,94.6,16
"Rectorado",2022-11-05,11,4,8000,291,9.5,97.8,15
"Gestion_estudiantil",2022-11-05,16,3,6000,107,7.4,93,10
"Biblioteca",2022-11-05,10,3,6000,156,5.1,91,27
"Laboratorios",2022-11-05,18,3,6000,147,5.3,94.4,24
"Invernaula",2022-11-05,35,4,8000,273,6.8,89.9,21
"Auditorio",2022-11-05,32,5,10000,279,9.5,86.9,10
"PIA",2022-11-05,46,5,10000,148,8.9,88.7,19
"Playon",2022-11-05,37,5,10000,129,10.9,92.3,12
"Gratuidad_Universitaria",2022-11-05,37,3,6000,112,4.9,99.5,12
"Justicia_Social",2022-11-05,33,5,10000,108,11,86.9,24
"Sede_Vergara",2022-11-05,31,3,6000,232,6.3,90.3,23
"Polideportivo",2022-11-05,17,5,10000,115,12.3,86.8,20
"Escuela_Universitaria_de_Ingles",2022-11-05,31,2,4000,260,4,95.9,10
"Trabajo_Argentino",2022-11-06,3,5,10000,386,9.1,86.8,25
"Marcos_Paz",2022-11-06,44,5,10000,236,8,91.5,15
"Rectorado",2022-11-06,10,5,10000,271,7.9,91.2,27
"Gestion_estudiantil",2022-11-06,23,3,6000,126,7.4,94.4,10
"Laboratorios",2022-11-06,3,3,6000,262,5.5,98.7,30
"Auditorio",2022-11-06,19,3,6000,215,6.2,94.9,17
"PIA",2022-11-06,30,4,8000,167,9.7,95.2,24
"Playon",2022-11-06,17,5,10000,149,11.2,89.3,23
